,Unnamed: 0,Name,language,genra,chapters,type,status,authors,published,score,views
0,0,1 Second,EN,"Action,Supernatural",Chap 23,Manhwa,Publishing,"Gwang-un(Art),Sini","Mar14,2019to?",,2085
1,1,1518!,EN/JA,"School,Seinen",Chap 13,Manga,Finished,"Aida,Yuu","Aug11,2014toMar11,2019",,1325
2,2,20 Seiki Shounen: Ujiko Ujio Sakuhinshuu,FR,"Comedy,Mystery,Ecchi",Chap 8,Manga,Finished,"Urasawa,Naoki","Jan1,2009to?",6.68,1489
3,3,3x3 Eyes: Kiseki no Yami no Keiyakusha,JA,"Action,Fantasy,Supernatural",Chap 48.5,Manga,Publishing,"Takada,Yuuzo","Dec22,2016to?",,556
4,4,47 Taisen,JA,"Action,Fantasy",Chap 14,Manga,Publishing,Hifumi,"Sep7,2016to?",,453
5,5,Adabana,JA,"Mystery,Drama,Psychological",Chap 28,Manga,Publishing,NON(Story&Art),"Mar18,2020to?",7.27,2206
6,6,Adamas,EN,"Action,Drama,Supernatural",Chap 2,Manga,Finished,"Oka,Eri(Story),Minagawa,Ryouji","Mar27,2007toAug26,2014",,567
7,7,Afterschool War Activities,EN,"Action,Drama,School",Chap 51,Manhwa,Finished,"Ha,Il-Kwon","Nov17,2012toDec14,2013",7.97,2242
8,8,AI no Idenshi: Red Queen,JA,"Drama,Sci-Fi,Shounen",Chap 20,Manga,Finished,"Yamada,Kyuuri","Oct12,2017toJun12,2019",,515
9,9,Aibou no Jouken,EN,Yaoi,Chap 5.5,Manga,Finished,"Minase,Masara","Jan1,2010to?",6.57,1517
10,10,Aisaresugi Confusion,EN,Yaoi,Chap 4,Manga,Finished,"Hidaka,Haru","Jul24,2013toMar24,2014",6.84,2142
11,11,Akuma no Youna Anata,JA,"Historical,Romance,Shoujo",Vol 4,Manga,Finished,"Matsuda,Shinobu(Story),Kagami,Eri","Aug1,2011toAug1,2013",,458
12,12,"Akuyaku Reijou desu ga, Shiawase ni Natte Misemasu wa!: Anthology Comic",JA,"Drama,Fantasy,Romance",Vol 8,Manga,Publishing,"Yamashiro,Umeta(Art),Ohitsuji,Ei(Art),Sorakura,Shikiji(Art),Yoshimura(Story&Art),Hoshino,Soumei,Kuroe,Yui,Izumi,Kyouka","Sep25,2019to?",7.31,639
13,13,"Ani ga Kareshi de, Gomen",EN,"Comedy,Romance,Shoujo",Chap 13,Manga,Publishing,"Hosobori,Yukari","Jun20,2020to?",,534
14,14,Anti Romance,EN,Yaoi,Chap 8,Manga,Publishing,"Hidaka,Shoko","Nov21,2015to?",7.09,1177
